"","iso2c","country","year","fertility.rate","life.expectancy","population","GDP.per.capita.Current.USD","15.to.25.yr.female.literacy","iso3c","region","capital","longitude","latitude","income","lending"
"290","AD","Andorra",1984,NA,NA,42704,7729.32336402426,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"291","AD","Andorra",1985,NA,NA,44597,7775.02750730729,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"292","AD","Andorra",1986,NA,NA,46515,10362.1677498842,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"293","AD","Andorra",1987,NA,NA,48458,12615.0521783631,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"294","AD","Andorra",1988,NA,NA,50431,14305.2096423903,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"295","AD","Andorra",1989,NA,NA,52449,15166.912581061,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"296","AD","Andorra",1990,NA,NA,54511,18876.7301903679,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"297","AD","Andorra",1991,NA,NA,56674,19530.8420614121,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"298","AD","Andorra",1992,NA,NA,58904,20541.7731272609,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"299","AD","Andorra",1993,NA,NA,61003,16508.8749149607,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"300","AD","Andorra",1994,NA,NA,62707,16226.9701802536,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"301","AD","Andorra",1995,NA,NA,63854,18460.0066061368,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"302","AD","Andorra",1996,NA,NA,64274,19043.8352940747,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"303","AD","Andorra",1997,NA,NA,64090,18421.6888284091,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"304","AD","Andorra",1998,NA,NA,63799,18996.441222614,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"305","AD","Andorra",1999,NA,NA,64084,19347.1110672469,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"306","AD","Andorra",2000,NA,NA,65399,17334.2756700025,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"307","AD","Andorra",2001,NA,NA,68000,18599.4153888345,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"308","AD","Andorra",2002,NA,NA,71639,20326.9001004177,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"309","AD","Andorra",2003,NA,NA,75643,25355.2671797143,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"310","AD","Andorra",2004,NA,NA,79060,29372.1667374519,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"311","AD","Andorra",2005,NA,NA,81223,31268.9667449795,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"312","AD","Andorra",2006,1.24,NA,81877,34484.7008637747,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"313","AD","Andorra",2007,1.18,NA,81292,39922.8901210414,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"314","AD","Andorra",2008,1.25,NA,79969,46418.4154673278,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"315","AD","Andorra",2009,1.19,NA,78659,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"316","AD","Andorra",2010,1.22,NA,77907,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"317","AD","Andorra",2011,NA,NA,77865,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"318","AD","Andorra",2012,NA,NA,78360,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"319","AE","United Arab Emirates",1960,6.928,51.6086829268293,89608,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"320","AE","United Arab Emirates",1961,6.91,52.6601463414634,97727,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"321","AE","United Arab Emirates",1962,6.893,53.7608292682927,108774,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"322","AE","United Arab Emirates",1963,6.877,54.9011951219512,121574,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"323","AE","United Arab Emirates",1964,6.861,56.066243902439,134411,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"324","AE","United Arab Emirates",1965,6.841,57.2364146341463,146341,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"325","AE","United Arab Emirates",1966,6.816,58.3916585365854,156890,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"326","AE","United Arab Emirates",1967,6.783,59.5129268292683,167360,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"327","AE","United Arab Emirates",1968,6.738,60.5826829268293,180762,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"328","AE","United Arab Emirates",1969,6.679,61.5878780487805,201157,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"329","AE","United Arab Emirates",1970,6.605,62.5194878048781,231529,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"330","AE","United Arab Emirates",1971,6.512,63.373,272211,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"331","AE","United Arab Emirates",1972,6.402,64.1599512195122,322439,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"332","AE","United Arab Emirates",1973,6.279,64.8883170731707,382599,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"333","AE","United Arab Emirates",1974,6.146,65.5626341463415,452848,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"334","AE","United Arab Emirates",1975,6.009,66.1853902439024,532742,27631.8985401645,56.27697072,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"335","AE","United Arab Emirates",1976,5.873,66.7605853658537,623450,30817.2633828883,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"336","AE","United Arab Emirates",1977,5.744,67.291243902439,723617,34371.4628949095,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"337","AE","United Arab Emirates",1978,5.624,67.7853658536585,827191,28742.855354213,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"338","AE","United Arab Emirates",1979,5.517,68.2474634146342,926112,33716.7240835592,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"339","AE","United Arab Emirates",1980,5.423,68.6840487804878,1014825,42961.8382150634,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"340","AE","United Arab Emirates",1981,5.344,69.0996097560976,1090660,45232.6335281834,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"341","AE","United Arab Emirates",1982,5.274,69.4961463414634,1155765,40339.2718734665,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"342","AE","United Arab Emirates",1983,5.209,69.8756829268293,1215380,35218.0579741799,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"343","AE","United Arab Emirates",1984,5.141,70.2411951219512,1277300,32731.507235934,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"344","AE","United Arab Emirates",1985,5.065,70.5941707317073,1347218,30138.8863490181,84.51429014,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"345","AE","United Arab Emirates",1986,4.973,70.9336341463415,1426915,23788.110756089,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"346","AE","United Arab Emirates",1987,4.86,71.2575365853659,1514798,24019.6440095658,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"347","AE","United Arab Emirates",1988,4.724,71.5669024390244,1609170,22543.0962331629,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"348","AE","United Arab Emirates",1989,4.566,71.861243902439,1707085,24289.9421357647,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"349","AE","United Arab Emirates",1990,4.388,72.1435365853659,1806498,28066.149918578,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"350","AE","United Arab Emirates",1991,4.193,72.4153170731707,1908002,27018.926378943,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"351","AE","United Arab Emirates",1992,3.989,72.6785853658537,2012977,26944.7548737053,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"352","AE","United Arab Emirates",1993,3.784,72.9353414634146,2121143,26224.1490533804,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"353","AE","United Arab Emirates",1994,3.584,73.1870975609756,2232159,26568.4899320413,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"354","AE","United Arab Emirates",1995,3.394,73.4348536585366,2346305,28020.0854141076,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"355","AE","United Arab Emirates",1996,3.217,73.6800975609756,2470810,29776.1600121965,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"356","AE","United Arab Emirates",1997,3.055,73.9208292682927,2608993,30218.1755039743,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"357","AE","United Arab Emirates",1998,2.906,74.1570487804878,2753498,27482.9828984103,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"358","AE","United Arab Emirates",1999,2.77,74.3887317073171,2893648,29183.0504343053,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"359","AE","United Arab Emirates",2000,2.645,74.6159024390244,3026352,34476.2854230195,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"360","AE","United Arab Emirates",2001,2.527,74.8370731707317,3132104,32984.7423721858,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"361","AE","United Arab Emirates",2002,2.413,75.0522195121951,3223969,34062.425735016,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"362","AE","United Arab Emirates",2003,2.301,75.2608780487805,3369254,36906.1998942909,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"363","AE","United Arab Emirates",2004,2.191,75.4639756097561,3658658,40403.988167934,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"364","AE","United Arab Emirates",2005,2.086,75.6604634146342,4148883,43533.8917822307,97.00174036,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"365","AE","United Arab Emirates",2006,1.989,75.8518048780488,4875639,45554.2194039789,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"366","AE","United Arab Emirates",2007,1.906,76.0384390243903,5797347,44528.9960064078,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"367","AE","United Arab Emirates",2008,1.839,76.2213414634146,6798635,46309.9821099673,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"368","AE","United Arab Emirates",2009,1.787,76.3995609756098,7718319,35025.1044868075,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"369","AE","United Arab Emirates",2010,1.749,76.5736097560976,8441537,35259.9860485215,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"370","AE","United Arab Emirates",2011,1.721,76.7425365853659,8925096,40363.1596747157,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"371","AE","United Arab Emirates",2012,NA,NA,9205651,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"372","AF","Afghanistan",1960,7.7,31.1320975609756,8774440,61.2891320598364,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"373","AF","Afghanistan",1961,7.7,31.4752926829268,8953544,61.3040930583217,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"374","AF","Afghanistan",1962,7.7,31.8320243902439,9141783,59.798693323222,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"375","AF","Afghanistan",1963,7.7,32.2042682926829,9339507,80.4230020659073,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"376","AF","Afghanistan",1964,7.7,32.5910487804878,9547131,83.7948118142624,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"377","AF","Afghanistan",1965,7.7,32.9898780487805,9765015,103.089103111692,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"378","AF","Afghanistan",1966,7.7,33.3967317073171,9990125,140.138383240116,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"379","AF","Afghanistan",1967,7.7,33.8091463414634,10221902,163.700788626879,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"380","AF","Afghanistan",1968,7.7,34.2230731707317,10465770,131.221435925562,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"381","AF","Afghanistan",1969,7.7,34.637512195122,10729191,131.313621224771,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"382","AF","Afghanistan",1970,7.7,35.0559756097561,11015621,158.764230928666,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"383","AF","Afghanistan",1971,7.699,35.4814146341463,11323446,161.709515997947,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"384","AF","Afghanistan",1972,7.697,35.9168780487805,11644377,137.023687562771,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"385","AF","Afghanistan",1973,7.695,36.3613170731707,11966352,144.8505998375,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"386","AF","Afghanistan",1974,7.693,36.8107317073171,12273589,175.625523933274,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"387","AF","Afghanistan",1975,7.692,37.2571219512195,12551790,188.552120093363,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"388","AF","Afghanistan",1976,7.695,37.6909756097561,12806810,199.546613632383,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"389","AF","Afghanistan",1977,7.701,38.1062926829268,13034460,226.578885405814,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"390","AF","Afghanistan",1978,7.711,38.4965853658537,13199597,250.007640997592,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"391","AF","Afghanistan",1979,7.725,38.8618536585366,13257128,278.939778294497,11.14279802,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"392","AF","Afghanistan",1980,7.742,39.2041219512195,13180431,276.29775135459,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"393","AF","Afghanistan",1981,7.763,39.5269512195122,12963788,268.346559648938,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"394","AF","Afghanistan",1982,7.785,39.8398292682927,12634494,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"395","AF","Afghanistan",1983,7.807,40.149243902439,12241928,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"396","AF","Afghanistan",1984,7.829,40.4586829268293,11854205,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"397","AF","Afghanistan",1985,7.85,40.7705853658537,11528977,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"398","AF","Afghanistan",1986,7.871,41.0848780487805,11262439,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"399","AF","Afghanistan",1987,7.893,41.399,11063107,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"400","AF","Afghanistan",1988,7.915,41.7109268292683,11013345,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"401","AF","Afghanistan",1989,7.937,42.0211951219512,11215323,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"402","AF","Afghanistan",1990,7.96,42.3293658536585,11731193,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"403","AF","Afghanistan",1991,7.984,42.636,12612043,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"404","AF","Afghanistan",1992,8.01,42.9397317073171,13811876,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"405","AF","Afghanistan",1993,8.034,43.2420975609756,15175325,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"406","AF","Afghanistan",1994,8.052,43.5426585365854,16485018,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"407","AF","Afghanistan",1995,8.058,43.8409024390244,17586073,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"408","AF","Afghanistan",1996,8.043,44.1368048780488,18415307,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"409","AF","Afghanistan",1997,8.004,44.4298048780488,19021226,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"410","AF","Afghanistan",1998,7.939,44.7213414634146,19496836,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"411","AF","Afghanistan",1999,7.847,45.0098536585366,19987071,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"412","AF","Afghanistan",2000,7.73,45.2928536585366,20595360,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"413","AF","Afghanistan",2001,7.595,45.5672682926829,21347782,115.312509504906,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"414","AF","Afghanistan",2002,7.447,45.8331463414634,22202806,185.959290128351,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"415","AF","Afghanistan",2003,7.294,46.0924390243902,23116142,198.287799138095,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"416","AF","Afghanistan",2004,7.14,46.3511951219512,24018682,220.056287808743,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"417","AF","Afghanistan",2005,6.989,46.6164146341463,24860855,252.407892476849,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"418","AF","Afghanistan",2006,6.843,46.8990975609756,25631282,275.350940904774,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"419","AF","Afghanistan",2007,6.7,47.2053170731707,26349243,373.591416218515,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"420","AF","Afghanistan",2008,6.559,47.5385609756098,27032197,376.977669868854,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"421","AF","Afghanistan",2009,6.422,47.8988536585366,27708187,450.659239044994,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"422","AF","Afghanistan",2010,6.288,48.2821951219512,28397812,561.197617484795,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"423","AF","Afghanistan",2011,6.158,48.6805853658537,29105480,619.592120402192,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"424","AF","Afghanistan",2012,NA,NA,29824536,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"425","AG","Antigua and Barbuda",1960,NA,62.3536585365854,54681,NA,NA,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD"
